Email,Vertical_id,Nombre
Jafet_Casals@gmail.com,DS_SEP,Jafet Casals
Jorge_Manzanares@gmail.com,DS_SEP,Jorge Manzanares
Onofre_Adadia@gmail.com,DS_SEP,Onofre Adadia
Merche_Prada@gmail.com,DS_SEP,Merche Prada
Pilar_Abella@gmail.com,DS_SEP,Pilar Abella
Leoncio_Tena@gmail.com,DS_SEP,Leoncio Tena
Odalys_Torrijos@gmail.com,DS_SEP,Odalys Torrijos
Eduardo_Caparrós@gmail.com,DS_SEP,Eduardo Caparrós
Ignacio_Goicoechea@gmail.com,DS_SEP,Ignacio Goicoechea
Clementina_Santos@gmail.com,DS_SEP,Clementina Santos
Daniela_Falcó@gmail.com,DS_SEP,Daniela Falcó
Abraham_Vélez@gmail.com,DS_SEP,Abraham Vélez
Maximiliano_Menéndez@gmail.com,DS_SEP,Maximiliano Menéndez
Anita_Heredia@gmail.com,DS_SEP,Anita Heredia
Eli_Casas@gmail.com,DS_SEP,Eli Casas
Guillermo_Borrego@gmail.com,DS_FEB,Guillermo Borrego
Sergio_Aguirre@gmail.com,DS_FEB,Sergio Aguirre
Carlito_Carrión@gmail.com,DS_FEB,Carlito Carrión
Haydée_Figueroa@gmail.com,DS_FEB,Haydée Figueroa
Chita_Mancebo@gmail.com,DS_FEB,Chita Mancebo
Joaquina_Asensio@gmail.com,DS_FEB,Joaquina Asensio
Cristian_Sarabia@gmail.com,DS_FEB,Cristian Sarabia
Isabel_Ibáñez@gmail.com,DS_FEB,Isabel Ibáñez
Desiderio_Jordá@gmail.com,DS_FEB,Desiderio Jordá
Rosalina_Llanos@gmail.com,DS_FEB,Rosalina Llanos
Amor_Larrañaga@gmail.com,FS_SEP,Amor Larrañaga
Teodoro_Alberola@gmail.com,FS_SEP,Teodoro Alberola
Cleto_Plana@gmail.com,FS_SEP,Cleto Plana
Aitana_Sebastián@gmail.com,FS_SEP,Aitana Sebastián
Dolores_Valbuena@gmail.com,FS_SEP,Dolores Valbuena
Julie_Ferrer@gmail.com,FS_SEP,Julie Ferrer
Mireia_Cabañas@gmail.com,FS_SEP,Mireia Cabañas
Flavia_Amador@gmail.com,FS_SEP,Flavia Amador
Albino_Macias@gmail.com,FS_SEP,Albino Macias
Ester_Sánchez@gmail.com,FS_SEP,Ester Sánchez
Luis_Miguel_Galvez@gmail.com,FS_SEP,Luis Miguel Galvez
Loida_Arellano@gmail.com,FS_SEP,Loida Arellano
Heraclio_Duque@gmail.com,FS_SEP,Heraclio Duque
Herberto_Figueras@gmail.com,FS_SEP,Herberto Figueras
Teresa_Laguna@gmail.com,FS_FEB,Teresa Laguna
Estrella_Murillo@gmail.com,FS_FEB,Estrella Murillo
Ernesto_Uriarte@gmail.com,FS_FEB,Ernesto Uriarte
Daniela_Guitart@gmail.com,FS_FEB,Daniela Guitart
Timoteo_Trillo@gmail.com,FS_FEB,Timoteo Trillo
Ricarda_Tovar@gmail.com,FS_FEB,Ricarda Tovar
Alejandra_Vilaplana@gmail.com,FS_FEB,Alejandra Vilaplana
Daniel_Rosselló@gmail.com,FS_FEB,Daniel Rosselló
Rita_Olivares@gmail.com,FS_FEB,Rita Olivares
Cleto_Montes@gmail.com,FS_FEB,Cleto Montes
Marino_Castilla@gmail.com,FS_FEB,Marino Castilla
Estefanía_Valcárcel@gmail.com,FS_FEB,Estefanía Valcárcel
Noemí_Vilanova@gmail.com,FS_FEB,Noemí Vilanova
