Email,Proyecto_HLF,Proyecto_EDA,Proyecto_BBDD,Proyecto_ML,Proyecto_Deployment
Jafet_Casals@gmail.com,Apto,No Apto,Apto,Apto,Apto
Jorge_Manzanares@gmail.com,Apto,No Apto,Apto,Apto,Apto
Onofre_Adadia@gmail.com,Apto,Apto,Apto,No Apto,Apto
Merche_Prada@gmail.com,Apto,No Apto,No Apto,Apto,No Apto
Pilar_Abella@gmail.com,Apto,No Apto,Apto,Apto,Apto
Leoncio_Tena@gmail.com,Apto,Apto,Apto,Apto,Apto
Odalys_Torrijos@gmail.com,No Apto,Apto,Apto,Apto,Apto
Eduardo_Caparrós@gmail.com,No Apto,Apto,Apto,Apto,Apto
Ignacio_Goicoechea@gmail.com,Apto,Apto,Apto,No Apto,Apto
Clementina_Santos@gmail.com,Apto,No Apto,Apto,Apto,Apto
Daniela_Falcó@gmail.com,Apto,Apto,Apto,Apto,Apto
Abraham_Vélez@gmail.com,Apto,No Apto,No Apto,Apto,Apto
Maximiliano_Menéndez@gmail.com,Apto,No Apto,Apto,Apto,Apto
Anita_Heredia@gmail.com,Apto,Apto,Apto,Apto,Apto
Eli_Casas@gmail.com,Apto,Apto,Apto,Apto,Apto
Guillermo_Borrego@gmail.com,Apto,No Apto,No Apto,Apto,No Apto
Sergio_Aguirre@gmail.com,Apto,No Apto,Apto,Apto,No Apto
Carlito_Carrión@gmail.com,Apto,No Apto,Apto,Apto,Apto
Haydée_Figueroa@gmail.com,Apto,Apto,Apto,Apto,Apto
Chita_Mancebo@gmail.com,No Apto,Apto,No Apto,Apto,Apto
Joaquina_Asensio@gmail.com,No Apto,No Apto,Apto,Apto,Apto
Cristian_Sarabia@gmail.com,Apto,Apto,No Apto,Apto,Apto
Isabel_Ibáñez@gmail.com,No Apto,Apto,No Apto,Apto,Apto
Desiderio_Jordá@gmail.com,No Apto,Apto,No Apto,No Apto,Apto
Rosalina_Llanos@gmail.com,Apto,Apto,Apto,Apto,Apto
