Email,Proyecto_WebDev,Proyecto_FrontEnd,Proyecto_BackEnd,Proyecto_React,Proyecto_FullStack
Amor_Larrañaga@gmail.com,Apto,Apto,Apto,Apto,No Apto
Teodoro_Alberola@gmail.com,No Apto,No Apto,Apto,No Apto,Apto
Cleto_Plana@gmail.com,Apto,No Apto,Apto,No Apto,Apto
Aitana_Sebastián@gmail.com,Apto,No Apto,Apto,No Apto,Apto
Dolores_Valbuena@gmail.com,Apto,Apto,Apto,Apto,No Apto
Julie_Ferrer@gmail.com,No Apto,No Apto,No Apto,Apto,No Apto
Mireia_Cabañas@gmail.com,No Apto,Apto,Apto,Apto,Apto
Flavia_Amador@gmail.com,Apto,Apto,No Apto,Apto,Apto
Albino_Macias@gmail.com,No Apto,Apto,Apto,Apto,Apto
Ester_Sánchez@gmail.com,No Apto,Apto,Apto,No Apto,Apto
Luis_Miguel_Galvez@gmail.com,No Apto,Apto,Apto,Apto,Apto
Loida_Arellano@gmail.com,Apto,Apto,Apto,Apto,Apto
Heraclio_Duque@gmail.com,Apto,Apto,No Apto,No Apto,No Apto
Herberto_Figueras@gmail.com,Apto,Apto,Apto,Apto,Apto
Teresa_Laguna@gmail.com,Apto,Apto,Apto,Apto,Apto
Estrella_Murillo@gmail.com,Apto,Apto,No Apto,Apto,Apto
Ernesto_Uriarte@gmail.com,Apto,Apto,Apto,Apto,Apto
Daniela_Guitart@gmail.com,Apto,No Apto,No Apto,Apto,Apto
Timoteo_Trillo@gmail.com,No Apto,Apto,Apto,Apto,No Apto
Ricarda_Tovar@gmail.com,Apto,Apto,Apto,Apto,Apto
Alejandra_Vilaplana@gmail.com,No Apto,No Apto,No Apto,Apto,Apto
Daniel_Rosselló@gmail.com,No Apto,No Apto,Apto,No Apto,No Apto
Rita_Olivares@gmail.com,No Apto,No Apto,No Apto,Apto,Apto
Cleto_Montes@gmail.com,Apto,Apto,No Apto,Apto,Apto
Marino_Castilla@gmail.com,No Apto,No Apto,Apto,No Apto,No Apto
Estefanía_Valcárcel@gmail.com,Apto,Apto,No Apto,No Apto,Apto
Noemí_Vilanova@gmail.com,Apto,No Apto,No Apto,Apto,Apto
